Date,Open,High,Low,Close,Volume,temp,Date2,ang,ang2,data_x,data_x2,data_x3
20160919,17100,17200,16750,17100,150397,1.8,2012.11,,1.8,-2,0,0
20160913,17150,17450,17150,17400,126291,-7.4,2012.12,,-7.4,50,0,0
20160912,17600,17700,17050,17100,269061,-6.6,2013.01,,-6.6,30,0,0
20160909,18750,18750,18000,18000,263133,-4.9,2013.02,,-4.9,25,0,0
20160908,18500,18700,18150,18600,376350,0.7,2013.03,,0.7,20,0,0
20160907,17800,18750,17550,18400,617187,5.7,2013.04,,5.7,15,0,-2
20160906,17700,17800,17500,17800,144616,13.7,2013.05,,13.7,13,0,-3
20160905,17400,17800,17250,17700,165581,20.5,2013.06,,20.5,10,0,-4
20160902,17150,17500,17050,17400,123510,23.4,2013.07,,23.4,9,0,-8
20160901,17200,17300,17000,17050,109893,24.8,2013.08,,24.8,8,0,-10
20160831,17400,17700,17100,17150,133694,18,2013.09,,18,7,0,-13
20160830,17100,18200,17000,17450,286025,10.9,2013.1,,10.9,6,0,-16
20160829,17450,17900,17200,17200,181049,2.1,2013.11,,2.1,6,0,-20
20160826,17250,17850,16950,17450,156993,-3.5,2013.12,,-3.5,5,0,-19
20160825,17450,17600,17300,17300,101967,-4.9,2014.01,,-4.9,5,0,-18
20160824,17550,17850,17400,17450,122246,-1.8,2014.02,,-1.8,4,0,-17
20160823,17450,17850,17450,17650,156378,3.5,2014.03,,3.5,4,0,-15
20160822,18100,18150,17400,17400,234843,9.4,2014.04,,9.4,4,0,-12
20160819,18100,18650,18000,18100,357007,13.8,2014.05,,13.8,40,0,-10
20160818,18200,18500,17850,17950,271154,19.7,2014.06,,19.7,30,0,-9
20160817,18500,18900,17900,17950,394514,22.9,2014.07,,22.9,15,0,-8
20160816,17650,20400,17650,18350,2670931,22.1,2014.08,,22.1,13,0,-7
20160812,17500,17850,17300,17400,112046,18,2014.09,,18,10,0,-6
20160811,17600,17650,17350,17450,81647,10.7,2014.1,,10.7,8,0,-5
20160810,17500,17950,17250,17600,130709,4.9,2014.11,,4.9,5,0,-4
20160809,17050,17750,16900,17350,152765,-6.7,2014.12,,-6.7,4,0,-3
20160808,17250,17350,16600,16800,141516,-4.8,2015.01,,-4.8,3,0,-2
20160805,17450,17500,17150,17250,103904,-2.9,2015.02,,-2.9,2,0,-1
20160804,17250,17600,17200,17250,122884,1,2015.03,,1,1,0,0
20160803,17600,17950,17200,17250,231643,8.4,2015.04,,8.4,1,0,0
20160802,18000,18100,17450,17600,188526,13.6,2015.05,,13.6,1,0,0
20160801,18300,18400,17900,17900,126660,18.9,2015.06,,18.9,10,0,0
20160729,18400,18800,18200,18400,231289,22.6,2015.07,,22.6,9,0,0
20160728,18000,18450,17850,18350,208504,22.8,2015.08,,22.8,7,0,1
20160727,18100,18150,17800,18000,94173,17.5,2015.09,,17.5,5,0,2
20160726,17850,18250,17700,18050,112008,10.8,2015.1,,10.8,3,0,3
20160725,18300,18300,17850,17850,108500,5.9,2015.11,,5.9,1,0,4
20160722,17850,18450,17800,18200,181950,-2.1,2015.12,,-2.1,1,0,7
20160721,18100,18200,17800,17850,127090,-6.8,2016.01,,-6.8,1,0,10
20160720,18200,18350,17900,18000,127841,-4.1,2016.02,,-4.1,1,0,12
20160719,18000,19000,18000,18200,458151,2.4,2016.03,,2.4,40,0,14
20160718,17750,18250,17550,18000,131315,9.1,2016.04,,9.1,28,0,15
20160715,18000,18150,17800,17800,164230,14.1,2016.05,,14.1,17,0,20
20160714,18300,18500,17850,18000,206871,19.5,2016.06,,19.5,16,0,19
20160713,18100,18400,17950,18300,218774,23.3,2016.07,,23.3,14,0,18
20160712,18200,18550,17900,18100,233365,24.5,2016.08,,24.5,13,0,17
20160711,18500,18500,17850,18200,240367,19.3,2016.09,,19.3,10,0,15
20160708,18650,18850,18050,18200,300546,11.6,2016.1,,11.6,9,0,13
20160707,18600,19300,18350,18750,650967,2.8,2016.11,,2.8,8.5,0,11
